base,form,base_MAPE,in_sample_MAPE,LOSO_MAPE,gain_pp
AGA8-DETAIL,fourier_o1,0.7688,0.8896,1.0831,-0.3143
AGA8-DETAIL,fourier_o2,0.7688,0.8577,1.095,-0.3262
AGA8-DETAIL,fourier_o3,0.7688,0.8346,1.1857,-0.417
AGA8-DETAIL,symbolic_gp,0.7688,0.7998,0.8058,-0.037
NNCF,poly_deg1,0.7892,0.9205,1.0695,-0.2803
NNCF,poly_deg2,0.7892,0.8772,2.277,-1.4878
NNCF,poly_deg3,0.7892,0.8789,16.0234,-15.2342
NNCF,poly_deg4,0.7892,0.8352,8.5427,-7.7535
NNCF,poly_deg5,0.7892,0.8149,530.2818,-529.4926
NNCF,poly_deg6,0.7892,0.7926,6423.4307,-6422.6415
NNCF,rbf_k4_w0.7,0.7892,0.8955,1.0377,-0.2485
NNCF,rbf_k4_w1.0,0.7892,0.896,1.0274,-0.2382
NNCF,rbf_k4_w1.5,0.7892,0.8905,1.0272,-0.238
NNCF,rbf_k9_w0.7,0.7892,0.8275,1.0531,-0.2639
NNCF,rbf_k9_w1.0,0.7892,0.8464,1.089,-0.2998
NNCF,rbf_k9_w1.5,0.7892,0.8635,1.1377,-0.3485
NNCF,rbf_k16_w0.7,0.7892,0.7916,1.0181,-0.2289
NNCF,rbf_k16_w1.0,0.7892,0.796,1.0295,-0.2403
NNCF,rbf_k16_w1.5,0.7892,0.8254,1.0802,-0.291
NNCF,rbf_k25_w0.7,0.7892,0.7814,1.031,-0.2418
NNCF,rbf_k25_w1.0,0.7892,0.7836,1.0511,-0.2619
NNCF,rbf_k25_w1.5,0.7892,0.7948,1.0494,-0.2602
NNCF,spline_df4,0.7892,0.8697,1.0573,-0.2681
NNCF,spline_df5,0.7892,0.8789,1.0867,-0.2975
NNCF,spline_df7,0.7892,0.8425,1.0385,-0.2493
NNCF,spline_df9,0.7892,0.8398,1.041,-0.2517
NNCF,rational_1_1,0.7892,0.8865,1.031,-0.2418
NNCF,rational_2_1,0.7892,0.8759,2.0412,-1.252
NNCF,phys_exp_decay,0.7892,0.8518,0.9458,-0.1566
NNCF,phys_power_law,0.7892,0.8199,0.9899,-0.2007
NNCF,phys_gaussian_bump,0.7892,0.7822,0.991,-0.2018
NNCF,fourier_o1,0.7892,0.911,1.0969,-0.3077
NNCF,fourier_o2,0.7892,0.8874,1.0944,-0.3052
NNCF,fourier_o3,0.7892,0.8633,1.2052,-0.416
NNCF,symbolic_gp,0.7892,0.8163,0.8221,-0.0329
ML-hybrid,poly_deg1,2.1427,2.0658,2.5478,-0.4051
ML-hybrid,poly_deg2,2.1427,2.0087,3.2622,-1.1195
ML-hybrid,poly_deg3,2.1427,1.9152,19.0705,-16.9278
ML-hybrid,poly_deg4,2.1427,1.76,357.8625,-355.7198
ML-hybrid,poly_deg5,2.1427,1.6481,7832.4683,-7830.3256
ML-hybrid,poly_deg6,2.1427,1.5231,27234.1137,-27231.971
ML-hybrid,rbf_k4_w0.7,2.1427,1.961,2.9166,-0.7739
ML-hybrid,rbf_k4_w1.0,2.1427,1.9842,2.8592,-0.7166
ML-hybrid,rbf_k4_w1.5,2.1427,2.0077,3.0317,-0.8891
ML-hybrid,rbf_k9_w0.7,2.1427,1.6026,2.5735,-0.4309
ML-hybrid,rbf_k9_w1.0,2.1427,1.6599,2.6739,-0.5312
ML-hybrid,rbf_k9_w1.5,2.1427,1.7361,3.1293,-0.9866
ML-hybrid,rbf_k16_w0.7,2.1427,1.5191,2.4597,-0.317
ML-hybrid,rbf_k16_w1.0,2.1427,1.5718,2.4294,-0.2867
ML-hybrid,rbf_k16_w1.5,2.1427,1.6403,2.6686,-0.5259
ML-hybrid,rbf_k25_w0.7,2.1427,1.3676,2.3634,-0.2207
ML-hybrid,rbf_k25_w1.0,2.1427,1.4214,2.4023,-0.2596
ML-hybrid,rbf_k25_w1.5,2.1427,1.4967,2.82,-0.6773
ML-hybrid,spline_df4,2.1427,1.8214,2.7293,-0.5866
ML-hybrid,spline_df5,2.1427,1.8442,2.7467,-0.604
ML-hybrid,spline_df7,2.1427,1.7077,2.5973,-0.4546
ML-hybrid,spline_df9,2.1427,1.7088,2.6386,-0.4959
ML-hybrid,rational_1_1,2.1427,2.0719,2.5526,-0.4099
ML-hybrid,rational_2_1,2.1427,2.0216,2.8531,-0.7104
ML-hybrid,phys_exp_decay,2.1427,2.0195,2.4659,-0.3232
ML-hybrid,phys_power_law,2.1427,1.9797,2.6945,-0.5518
ML-hybrid,phys_gaussian_bump,2.1427,1.6825,2.5613,-0.4187
ML-hybrid,fourier_o1,2.1427,2.0259,2.5228,-0.3801
ML-hybrid,fourier_o2,2.1427,1.899,2.749,-0.6063
ML-hybrid,fourier_o3,2.1427,1.8116,2.7506,-0.6079
ML-hybrid,symbolic_gp,2.1427,2.1049,2.1136,0.0291
